koi_disposition,koi_score,koi_period,koi_duration,koi_depth,koi_model_snr,koi_prad,koi_teq,koi_fpflag_nt,koi_fpflag_ss
CONFIRMED,0.998,43.84439721,6.802,615.2,83.7,2.87,531.0,0,0
FALSE POSITIVE,0.0,3.341913228,3.813,725.3,39.0,21.55,1032.0,0,1
FALSE POSITIVE,0.773,1.626630225,2.1145,1620.6,103.6,32.43,1547.0,0,0
CONFIRMED,1.0,2.711504086,3.0099,837.5,64.5,3.12,1420.0,0,0
CONFIRMED,1.0,7.21203748,4.0491,950.4,51.5,3.32,1025.0,0,0
FALSE POSITIVE,,14.1798187,2.505,459.9,11.2,1.88,711.0,0,0
CONFIRMED,1.0,8.47237911,2.7245,1123.5,47.6,2.59,751.0,0,0
CONFIRMED,0.989,60.4189369,5.039,931.3,20.1,2.36,390.0,0,0
CONFIRMED,1.0,12.611904345,5.1497,6105.6,277.2,7.4,753.0,0,0
FALSE POSITIVE,0.0,1.433769925,1.8868,1976.3,112.6,46.58,1920.0,0,1
FALSE POSITIVE,0.0,10.31872301,3.836,871.7,38.2,28.59,876.0,0,1
CONFIRMED,1.0,2.539183147,2.4282,382.1,38.9,2.06,1332.0,0,0
CONFIRMED,1.0,6.770300385,2.0844,1304.0,50.8,2.77,812.0,0,0
FALSE POSITIVE,0.0,0.444291966,2.0792,10967.0,299.7,27.51,1836.0,0,1
CANDIDATE,1.0,10.181584004,3.5089,5741.1,183.6,7.73,812.0,0,0
CONFIRMED,1.0,20.06036336,3.3203,1494.7,35.2,1.96,361.0,0,0
CONFIRMED,1.0,46.1842039,4.758,1394.7,26.0,1.83,273.0,0,0
CONFIRMED,0.952,23.9800854,5.351,104.0,17.1,1.31,649.0,0,0
CONFIRMED,0.994,7.82502168,2.186,520.8,15.9,1.2,494.0,0,0
CONFIRMED,1.0,3.895936525,2.3111,8544.8,370.8,7.34,1005.0,0,0
CONFIRMED,0.999,22.36646466,5.228,986.8,32.1,2.32,536.0,0,0
