koi_disposition,koi_score,koi_period,koi_duration,koi_depth,koi_model_snr,koi_prad,koi_teq,koi_fpflag_nt,koi_fpflag_ss
CONFIRMED,1.0,8.31377304,2.964,837.4,19.6,2.74,886.0,0,0
FALSE POSITIVE,0.0,8.58969597,8.471,245.1,45.9,20.8,882.0,0,1
CONFIRMED,1.0,7.97420583,5.3503,293.1,55.1,1.85,974.0,0,0
CONFIRMED,0.998,1.88899036,3.486,59.0,18.2,0.83,1574.0,0,0
CONFIRMED,1.0,18.68405716,6.9329,381.5,54.2,3.64,832.0,0,0
CONFIRMED,1.0,21.41624083,7.081,314.5,42.7,2.09,748.0,0,0
FALSE POSITIVE,0.0,12.28351275,3.634,597.8,23.4,74.76,1342.0,0,1
CONFIRMED,1.0,4.72674037,2.9267,273.1,287.8,1.56,1028.0,0,0
FALSE POSITIVE,0.0,6.77449545,2.5416,481.9,41.9,29.41,1219.0,0,0
CANDIDATE,1.0,14.591504451,1.1295,1490.5,68.0,36.85,879.0,0,0
FALSE POSITIVE,0.0,27.677680103,2.1704,11545.0,431.6,14.41,618.0,0,1
FALSE POSITIVE,0.0,0.605223042,0.8986,232.3,20.7,1.14,1728.0,0,1
CONFIRMED,0.983,25.5172744,4.735,66.8,13.5,0.83,615.0,0,0
CONFIRMED,1.0,4.73292061,1.746,151.6,15.5,0.97,957.0,0,0
CONFIRMED,0.799,22.4765952,3.437,481.4,13.3,1.21,419.0,0,0
CANDIDATE,0.892,1.242639742,1.763,159.3,16.1,1.02,1487.0,0,0
FALSE POSITIVE,0.0,25.503628,3.913,204.4,13.3,1.61,586.0,0,0
CONFIRMED,0.988,14.8638496,2.705,220.6,12.3,2.9,620.0,0,0
CONFIRMED,0.994,5.65245733,2.062,121.0,11.7,1.05,856.0,0,0
CONFIRMED,1.0,10.9294815,5.893,196.9,14.3,1.21,770.0,0,0
CANDIDATE,0.0,0.536650319,2.383,41.9,31.0,1.35,3195.0,0,0
CONFIRMED,1.0,5.45849914,4.0448,255.9,72.0,1.91,1099.0,0,0
CONFIRMED,1.0,13.28536452,6.283,377.6,26.8,4.03,1157.0,0,0
FALSE POSITIVE,0.0,8.4879444,3.224,119.3,19.5,1.23,969.0,0,1
FALSE POSITIVE,0.394,46.56675437,7.831,801.1,111.3,5.25,708.0,0,0
FALSE POSITIVE,0.0,19.5148412,3.096,102.7,13.1,2.8,1200.0,0,1
CONFIRMED,0.998,15.4130812,6.6358,264.3,55.2,2.59,944.0,0,0
CONFIRMED,0.993,4.82051088,3.588,40.9,14.8,1.08,1328.0,0,0
CANDIDATE,1.0,6.09595681,5.502,65.7,18.1,1.26,1259.0,0,0
CANDIDATE,0.984,13.2511214,4.996,266.5,15.2,1.98,850.0,0,0
FALSE POSITIVE,0.0,5.76556718,3.138,213.3,17.6,1.66,1120.0,0,1
CANDIDATE,,11.682369,2.71,234.5,11.2,1.45,802.0,0,0
CANDIDATE,0.977,10.12956201,3.044,81.3,12.2,0.78,736.0,0,0
CONFIRMED,0.87,15.6112238,3.873,113.5,15.7,0.91,637.0,0,0
CONFIRMED,0.959,42.5217006,5.723,685.6,14.7,2.45,510.0,0,0
FALSE POSITIVE,0.0,0.566805887,5.2317,1.7,0.8,0.08,1554.0,1,0
CONFIRMED,0.972,6.69958851,2.831,253.7,13.6,1.24,806.0,0,0
FALSE POSITIVE,0.0,14.170972781,3.7316,13496.0,308.1,20.88,1288.0,0,1
FALSE POSITIVE,0.0,1.332562831,6.24,297.9,37.3,24.29,1532.0,0,1
CONFIRMED,0.99,2.39161966,1.906,189.2,13.6,0.93,1031.0,0,0
CONFIRMED,0.968,5.68879083,2.55,241.5,13.8,0.99,645.0,0,0
CONFIRMED,0.893,2.31941571,1.591,96.4,11.7,1.24,1490.0,0,0
CONFIRMED,1.0,19.7830259,5.4898,373.2,41.8,2.1,708.0,0,0
FALSE POSITIVE,0.0,10.431146765,3.8853,29376.0,400.2,50.44,833.0,0,1
CONFIRMED,1.0,7.0106324,3.0688,327.3,48.7,1.5,738.0,0,0
CONFIRMED,0.999,3.10762684,2.361,77.2,15.6,0.73,968.0,0,0
CONFIRMED,1.0,1.980356674,2.4743,271.9,71.9,2.1,1662.0,0,0
CONFIRMED,1.0,12.8344771,3.846,281.0,35.0,2.55,891.0,0,0
FALSE POSITIVE,0.0,175.329014,6.269,1059.1,16.7,27.03,327.0,0,1
CANDIDATE,0.989,21.61313362,1.52,818.1,13.8,1.94,503.0,0,0
CONFIRMED,1.0,2.7881793,3.397,55.8,17.7,1.02,1510.0,0,0
CONFIRMED,0.984,4.13827684,3.449,63.8,16.8,1.13,1324.0,0,0
FALSE POSITIVE,0.0,2.61846258,3.505,275.3,18.7,1.03,843.0,0,0
CONFIRMED,0.997,29.72722,3.45,1010.2,19.4,3.02,557.0,0,0
CONFIRMED,0.971,18.01019956,3.516,177.7,43.4,1.93,758.0,0,0
CONFIRMED,1.0,10.61368712,3.498,559.8,18.9,2.06,785.0,0,0
FALSE POSITIVE,0.0,7.53887442,3.147,342.1,13.6,1.33,751.0,0,0
FALSE POSITIVE,0.0,0.53633519,1.0547,444.1,29.9,1.81,1974.0,0,0
CANDIDATE,0.962,27.9430245,6.125,308.6,12.3,2.21,718.0,0,0
CONFIRMED,0.858,8.07394097,2.455,1056.0,16.0,1.59,420.0,0,0
CONFIRMED,1.0,4.53702121,1.813,504.4,15.7,1.66,798.0,0,0
CANDIDATE,0.858,0.977311489,1.403,250.7,14.8,1.06,1331.0,0,0
CONFIRMED,0.768,39.859505,7.987,155.5,13.9,1.62,597.0,0,0
FALSE POSITIVE,0.0,23.6731242,14.3948,23113.0,842.3,17.74,676.0,0,1
CONFIRMED,1.0,7.170710381,2.9225,863.3,89.3,2.73,890.0,0,0
CONFIRMED,1.0,4.699652821,2.553,351.4,41.6,1.74,1024.0,0,0
CONFIRMED,1.0,4.761705895,3.3061,497.1,138.5,2.75,1201.0,0,0
CONFIRMED,1.0,2.024143568,2.5273,239.4,88.4,1.94,1597.0,0,0
FALSE POSITIVE,0.0,1.371288853,1.4528,66.2,16.9,1.15,1837.0,0,0
CONFIRMED,1.0,11.87290814,2.5342,332.7,84.7,2.25,863.0,0,0
CONFIRMED,0.987,1.638652525,1.952,166.9,16.4,1.29,1610.0,0,0
CONFIRMED,0.254,9.06687613,3.381,367.2,14.6,1.9,725.0,0,0
CONFIRMED,0.999,4.0223109,0.853,227.8,11.0,1.37,1017.0,0,0
CONFIRMED,0.977,6.9131732,4.73,39.1,12.5,0.91,1209.0,0,0
CONFIRMED,0.981,7.32851947,1.211,277.8,14.0,2.33,807.0,0,0
CONFIRMED,1.0,18.6052046,6.829,242.5,13.1,1.94,833.0,0,0
FALSE POSITIVE,0.0,1.332562787,6.28,1111.9,125.2,29.1,1703.0,1,0
CANDIDATE,0.999,0.896382269,1.113,136.4,11.7,1.0,1810.0,0,0
CONFIRMED,0.997,39.4420781,7.029,172.4,15.2,2.51,682.0,0,0
CONFIRMED,1.0,10.27532513,6.3093,209.7,99.5,3.04,1211.0,0,0
FALSE POSITIVE,0.014,11.50528603,2.098,260.2,11.4,1.83,912.0,0,0
CONFIRMED,1.0,26.62941953,7.8709,492.8,106.9,3.13,742.0,0,0
CONFIRMED,1.0,296.6375817,16.425,2763.1,250.0,7.56,332.0,0,0
CONFIRMED,0.998,41.8085031,7.797,190.4,27.3,1.67,582.0,0,0
FALSE POSITIVE,0.0,2.98786272,2.5814,42789.0,98.0,17.82,1064.0,0,1
CONFIRMED,1.0,39.30944096,5.77,1132.1,122.9,2.87,488.0,0,0
CONFIRMED,1.0,29.88487723,4.5612,1275.7,128.3,2.81,453.0,0,0
CONFIRMED,1.0,12.92489803,2.6811,959.0,49.5,2.62,620.0,0,0
CANDIDATE,0.989,11.45541896,4.95,68.6,15.8,1.12,975.0,0,0
FALSE POSITIVE,0.0,0.575884418,2.0734,272.2,43.2,31.17,2397.0,0,0
FALSE POSITIVE,0.0,0.562555067,1.7402,198.3,21.7,1.21,2046.0,0,1
CANDIDATE,0.508,44.433726,6.118,239.6,8.0,1.85,538.0,0,0
FALSE POSITIVE,0.0,0.993703494,0.7645,67.4,14.5,2.32,3257.0,0,0
CONFIRMED,1.0,6.33125228,2.688,306.6,16.2,1.31,822.0,0,0
CONFIRMED,0.887,24.2204192,3.271,806.3,14.0,2.1,505.0,0,0
FALSE POSITIVE,0.0,30.9597053,5.42,410.7,13.7,16.63,438.0,0,1
CONFIRMED,0.919,6.41491277,3.3629,121.0,51.1,1.4,1069.0,0,0
FALSE POSITIVE,0.378,93.881556,20.644,188.7,23.7,2.02,479.0,1,0
CANDIDATE,0.992,3.91679553,2.072,161.3,13.2,0.85,851.0,0,0
CANDIDATE,1.0,43.1024434,7.124,299.8,14.3,1.88,539.0,0,0
FALSE POSITIVE,0.0,2.683395376,1.8592,234.7,52.9,2.55,1860.0,0,0
CONFIRMED,0.995,31.51779463,7.634,357.6,63.2,2.72,663.0,0,0
CONFIRMED,1.0,8.12999858,2.1492,148.0,26.1,2.04,1041.0,0,0
CANDIDATE,0.972,31.4452709,1.758,531.1,12.7,4.55,721.0,0,0
FALSE POSITIVE,0.0,66.46746217,19.6638,12644.0,1049.3,11.97,466.0,0,1
CONFIRMED,1.0,2.586639524,2.253,217.7,77.3,1.44,1328.0,0,0
FALSE POSITIVE,0.351,2.671942657,1.9119,15942.0,97.5,22.36,1458.0,0,1
CONFIRMED,1.0,28.51117639,4.5941,1844.6,145.5,3.27,423.0,0,0
CONFIRMED,1.0,14.38682567,2.1417,569.6,61.7,2.54,776.0,0,0
CANDIDATE,0.917,8.85686712,0.606,319.2,11.9,1.88,714.0,0,0
CANDIDATE,0.983,12.99065074,2.3748,392.3,42.5,2.02,790.0,0,0
CONFIRMED,0.0,331.5972732,14.404,8322.1,355.0,10.89,294.0,0,0
CONFIRMED,1.0,11.20058855,4.562,219.9,19.2,1.7,808.0,0,0
FALSE POSITIVE,0.0,1.50179931,3.275,100.1,19.1,0.72,1229.0,0,0
CONFIRMED,1.0,17.83367834,4.5112,326.9,154.5,2.43,866.0,0,0
CONFIRMED,1.0,19.55662003,8.087,298.9,111.0,2.45,797.0,0,0
CANDIDATE,0.9,82.6595174,3.48,1270.7,17.1,2.03,233.0,0,0
CONFIRMED,0.996,2.03387483,3.097,73.6,15.7,1.6,1789.0,0,0
FALSE POSITIVE,0.0,5.07538255,1.7,163.1,16.0,1.74,1154.0,0,0
CONFIRMED,0.933,23.9553986,3.204,228.7,13.9,2.84,741.0,0,0
CANDIDATE,0.0,24.3367026,2.539,551.1,13.4,1.95,526.0,0,0
CANDIDATE,0.994,7.40985182,1.131,201.1,13.5,1.18,818.0,0,0
FALSE POSITIVE,0.0,1.02425556,2.6439,1631.7,40.6,29.83,1503.0,0,0
FALSE POSITIVE,0.0,4.63958598,2.768,83.4,28.1,1.52,1587.0,0,0
CANDIDATE,0.552,15.5943758,7.367,95.4,11.9,1.08,801.0,0,0
CONFIRMED,0.59,34.4359387,5.82,424.5,52.6,2.78,652.0,0,0
CONFIRMED,1.0,5.317440164,2.9331,292.5,80.9,1.94,1105.0,0,0
CONFIRMED,0.958,10.10575764,2.0138,116.8,19.9,1.28,892.0,0,0
CONFIRMED,1.0,28.86236571,5.4033,449.2,64.4,2.53,623.0,0,0
CONFIRMED,0.88,210.6013843,11.9922,4159.3,232.4,7.7,342.0,0,0
CANDIDATE,0.889,75.731195,4.859,2496.0,16.3,3.47,237.0,0,0
CONFIRMED,0.999,59.7371443,8.0006,566.4,43.5,2.84,520.0,0,0
FALSE POSITIVE,0.0,3.388887193,2.4475,11268.0,162.9,10.72,1212.0,0,1
CONFIRMED,1.0,27.08239734,5.0119,423.2,40.9,3.25,703.0,0,0
CANDIDATE,1.0,152.1060435,7.4517,3688.3,116.3,11.58,458.0,0,0
CONFIRMED,0.989,30.6528935,4.99,269.7,17.4,2.86,780.0,0,0
FALSE POSITIVE,0.0,0.512869432,4.015,2313.0,133.9,31.12,2185.0,0,1
CONFIRMED,0.987,5.19492747,3.167,272.9,16.5,2.03,1238.0,0,0
CONFIRMED,1.0,15.9314412,2.435,556.7,14.8,1.77,596.0,0,0
FALSE POSITIVE,0.0,1.33251589,4.216,140.5,22.2,1.3,1747.0,0,0
CONFIRMED,1.0,28.227413,5.782,1113.4,25.3,2.82,565.0,0,0
FALSE POSITIVE,0.0,0.545544979,1.954,92.6,24.8,0.93,2240.0,0,1
FALSE POSITIVE,0.0,419.97507836,12.1687,275.1,5.9,1.53,215.0,1,0
CONFIRMED,0.983,4.76559056,2.2,67.5,15.2,0.92,1167.0,0,0
CONFIRMED,1.0,2.98618134,2.969,122.9,12.0,1.16,1356.0,0,0
FALSE POSITIVE,0.0,25.9200092,5.609,331.4,10.9,1.28,515.0,0,0
CONFIRMED,0.998,6.17817366,3.2601,101.9,43.5,1.22,1082.0,0,0
FALSE POSITIVE,0.0,2.04516705,3.625,154.8,16.5,2.9,2945.0,0,0
CANDIDATE,0.983,7.25101997,2.799,122.8,12.2,0.91,807.0,0,0
CONFIRMED,1.0,5.65178922,3.0933,134.1,39.5,2.03,1248.0,0,0
CONFIRMED,1.0,19.96367208,2.6403,270.9,36.3,1.5,564.0,0,0
CANDIDATE,0.915,57.3840375,4.336,241.7,22.9,1.62,397.0,0,0
CONFIRMED,1.0,1.541676547,1.9118,296.5,94.1,1.88,1592.0,0,0
FALSE POSITIVE,0.0,6.397185875,5.8638,18887.0,394.7,15.02,981.0,0,1
FALSE POSITIVE,0.0,2.976020742,3.73,114.9,60.6,2.07,1740.0,0,0
CONFIRMED,1.0,15.95995611,4.3149,523.2,70.9,2.27,721.0,0,0
CONFIRMED,0.998,7.37867551,3.349,125.1,22.3,1.11,933.0,0,0
CONFIRMED,1.0,4.903321801,2.8887,334.5,84.5,2.37,1247.0,0,0
CONFIRMED,1.0,1.82708193,1.96401,1164.7,273.7,5.95,1877.0,0,0
FALSE POSITIVE,0.0,22.845241036,5.3007,45676.0,3845.4,30.35,762.0,0,1
CANDIDATE,1.0,2.5738437,1.92,46.6,10.9,0.57,1129.0,0,0
FALSE POSITIVE,0.0,18.3980827,4.438,145.0,17.2,1.26,686.0,0,0
CONFIRMED,0.996,11.62904159,2.97,88.0,13.7,1.31,854.0,0,0
FALSE POSITIVE,0.0,13.6550963,4.117,196.3,14.6,1.35,780.0,0,0
CONFIRMED,1.0,27.50871575,5.9291,639.2,190.3,2.98,663.0,0,0
CONFIRMED,0.983,20.0708757,6.354,405.7,12.8,3.2,826.0,0,0
CONFIRMED,0.94,98.353149,24.708,423.0,30.5,4.13,552.0,0,0
CANDIDATE,0.963,10.18318233,3.137,51.5,11.2,0.79,867.0,0,0
CANDIDATE,0.979,6.2321233,2.85,31.7,8.5,0.61,1021.0,0,0
CANDIDATE,0.673,8.2942929,3.976,36.8,10.1,0.65,928.0,0,0
FALSE POSITIVE,0.0,1.540411479,1.703,107.1,12.1,0.92,1446.0,0,0
FALSE POSITIVE,0.0,3.74785358,3.713,98.2,18.8,0.89,1093.0,0,0
CONFIRMED,1.0,25.75274977,2.7678,738.9,36.7,2.27,501.0,0,0
CONFIRMED,1.0,10.161023528,3.1627,1653.9,111.1,4.62,904.0,0,0
CANDIDATE,1.0,12.82993461,2.942,1417.4,79.6,3.31,734.0,0,0
CONFIRMED,0.989,49.41121127,5.278,3184.0,125.4,6.77,497.0,0,0
CONFIRMED,1.0,36.8567758,7.495,714.1,43.8,2.68,549.0,0,0
FALSE POSITIVE,0.189,35.080928,6.92,100.7,7.6,1.21,610.0,1,0
CONFIRMED,0.999,10.39986173,3.377,275.3,22.8,1.5,678.0,0,0
FALSE POSITIVE,0.0,0.828206212,1.737,132.3,68.1,3.88,3274.0,0,0
CONFIRMED,1.0,24.31574009,4.1344,643.3,42.5,2.8,683.0,0,0
FALSE POSITIVE,0.0,199.443024,7.409,4036.0,55.1,9.3,332.0,0,1
CONFIRMED,0.926,39.6766071,5.04,611.2,24.9,2.29,473.0,0,0
FALSE POSITIVE,0.047,358.66044,16.732,133.8,15.6,1.62,304.0,1,0
CONFIRMED,1.0,4.454194254,2.3061,16042.0,1022.2,11.76,1017.0,0,0
CANDIDATE,0.0,809.0141881,8.3017,16311.0,212.9,14.38,216.0,0,0
CONFIRMED,1.0,21.0871953,5.92691,8894.7,556.2,14.43,873.0,0,0
FALSE POSITIVE,0.0,1.575631524,2.59202,25627.0,465.4,28.66,1577.0,0,1
CONFIRMED,0.999,6.09855603,2.9815,84.4,24.8,0.84,927.0,0,0
FALSE POSITIVE,0.174,203.250506,9.81,238.9,7.0,1.35,292.0,1,0
CONFIRMED,1.0,16.54295261,3.8516,726.0,36.1,2.31,611.0,465,0
CONFIRMED,1.0,11.023474798,1.4814,1795.5,77.2,2.46,429.0,0,0
CONFIRMED,1.0,34.18884323,5.3278,1063.2,83.9,2.97,526.0,0,0
CONFIRMED,1.0,4.30165843,2.1055,739.4,88.3,2.42,1009.0,0,0
CONFIRMED,1.0,7.650243513,2.752,981.4,98.8,2.3,772.0,0,0
CANDIDATE,0.425,2.47240869,1.87,47.5,9.0,0.36,887.0,0,0
CONFIRMED,1.0,4.592393816,2.2748,1027.7,105.9,2.51,924.0,0,0
CANDIDATE,0.0,11.53029332,1.8385,1209.3,57.6,3.98,873.0,0,0
CONFIRMED,1.0,5.859935955,4.0185,322.8,186.7,2.56,1246.0,0,0
CONFIRMED,1.0,2.104721971,1.7547,905.5,153.3,2.89,1365.0,0,0
FALSE POSITIVE,0.0,10.63624422,5.055,231.7,24.7,1.58,756.0,0,1
CANDIDATE,0.879,7.9069765,4.634,126.1,8.3,1.13,994.0,0,0
CONFIRMED,1.0,6.412512953,5.2677,1156.4,183.1,3.89,1069.0,0,0
CONFIRMED,1.0,2.019997006,1.8073,332.8,52.1,1.46,1166.0,0,0
CONFIRMED,1.0,3.763041531,1.6011,354.5,37.9,1.63,948.0,0,0
CONFIRMED,1.0,6.521209629,2.7975,760.4,69.8,2.54,932.0,0,0
CONFIRMED,1.0,6.996926239,2.7374,1317.4,101.6,3.21,888.0,0,0
CANDIDATE,0.676,13.9509565,5.231,35.7,11.2,0.75,849.0,0,0
FALSE POSITIVE,0.0,5.428344915,1.8931,13756.0,140.2,14.88,1033.0,0,1
CANDIDATE,1.0,16.30141333,3.5764,942.3,62.4,3.84,805.0,0,0
CONFIRMED,1.0,24.61480613,2.6602,1798.0,68.4,4.2,586.0,0,0
CONFIRMED,1.0,42.949522,5.4154,959.1,40.7,2.98,487.0,0,0
CONFIRMED,0.995,117.033521,6.822,770.4,21.9,2.68,349.0,0,0
FALSE POSITIVE,0.001,386.39833,8.519,748.0,4.9,2.2,214.0,1,0
CONFIRMED,1.0,1.55400389,1.7664,465.8,82.1,1.59,1313.0,0,0
CONFIRMED,1.0,34.25951418,4.7743,1072.5,66.1,2.41,468.0,0,0
FALSE POSITIVE,0.0,23.8761144,9.3113,1611.7,225.5,10.45,1481.0,1,0
FALSE POSITIVE,0.0,4.99270186,3.1008,557.4,42.3,26.6,1051.0,0,1
CONFIRMED,1.0,4.79860021,3.0384,817.4,88.1,2.51,978.0,0,0
FALSE POSITIVE,0.122,7.7333361,2.807,126.9,9.3,0.57,479.0,1,0
CONFIRMED,1.0,9.57665962,3.3603,746.8,82.6,2.88,846.0,0,0
CONFIRMED,1.0,96.6781852,5.6957,951.3,44.7,3.29,392.0,0,0
CONFIRMED,1.0,20.55280311,2.2013,727.3,42.4,2.99,656.0,0,0
FALSE POSITIVE,0.0,2.023123903,1.1829,1288.9,76.0,2.87,1266.0,0,1
CONFIRMED,1.0,10.94026745,2.3494,538.6,30.6,2.08,764.0,0,0
CONFIRMED,0.374,19.5352551,1.013,1732.0,5.9,0.53,161.0,1,0
CANDIDATE,1.0,3.687469832,1.0668,5057.6,363.9,5.78,690.0,0,0
CONFIRMED,0.962,151.863949,8.577,747.0,22.5,2.41,318.0,0,0
CONFIRMED,0.989,5.945043548,2.7004,800.2,67.6,2.69,857.0,0,0
CONFIRMED,0.972,65.7045275,3.3104,636.1,70.4,2.78,472.0,0,0
CONFIRMED,0.994,17.73842886,3.0049,605.5,29.8,2.47,596.0,0,0
CANDIDATE,0.971,84.799829,15.21,56.1,14.4,1.16,491.0,0,0
CONFIRMED,0.559,9.93962361,3.432,300.1,21.5,1.93,722.0,0,0
CONFIRMED,1.0,6.8731664,6.8569,3753.8,535.5,13.44,1482.0,0,0
CONFIRMED,1.0,8.600099313,4.0077,2791.6,209.2,4.17,760.0,0,0
CONFIRMED,1.0,12.37646897,2.7075,1709.0,81.2,2.53,483.0,0,0
CANDIDATE,0.998,9.340538,2.57,200.8,11.1,0.84,530.0,0,0
CONFIRMED,0.343,330.071558,4.295,616.7,10.6,2.94,286.0,0,0
CONFIRMED,1.0,18.87022157,3.1404,1096.6,72.7,2.82,621.0,0,0
CONFIRMED,0.963,19.5776073,3.382,98.1,17.2,0.9,628.0,0,0
CONFIRMED,1.0,17.20522898,3.6688,1080.6,75.7,2.22,553.0,0,0
FALSE POSITIVE,0.0,17.90766147,5.396,1089.3,78.4,4.89,731.0,0,1
CONFIRMED,1.0,22.18332255,5.1364,748.1,70.3,2.78,646.0,0,0
FALSE POSITIVE,0.269,354.78194,6.46,193.0,7.7,30.53,325.0,1,0
CONFIRMED,1.0,7.65880048,3.0427,668.2,57.6,2.19,858.0,0,0
CONFIRMED,1.0,9.3789167,3.3427,563.5,42.6,2.03,803.0,0,0
CONFIRMED,1.0,4.221626193,3.0619,658.0,83.7,2.87,1176.0,0,0
CONFIRMED,1.0,16.54967098,4.3808,744.5,46.8,2.95,656.0,0,0
CONFIRMED,1.0,2.154911236,3.1341,99.7,83.0,1.42,1740.0,0,0
CANDIDATE,0.812,11.505879,5.583,49.8,12.5,0.99,1000.0,0,0
CONFIRMED,0.999,3.52467888,2.484,129.7,12.3,1.46,1098.0,0,0
CONFIRMED,1.0,6.400157105,2.0004,743.2,49.1,2.52,810.0,0,0
CONFIRMED,1.0,2.437029217,3.2005,244.0,49.0,2.04,1513.0,0,0
CONFIRMED,1.0,9.9267215,3.8428,725.5,97.3,2.76,803.0,0,0
CONFIRMED,1.0,21.22349325,4.9416,582.9,60.2,2.63,623.0,0,0
CONFIRMED,0.932,6.47027706,3.343,116.9,18.3,1.15,926.0,0,0
CONFIRMED,1.0,3.722158895,1.9941,757.4,70.3,2.33,1046.0,0,0
CONFIRMED,0.997,46.9026431,3.9264,821.3,40.6,2.6,458.0,0,0
CONFIRMED,1.0,5.263415218,2.1446,1030.7,117.0,3.77,1103.0,0,0
CONFIRMED,1.0,4.030466786,2.7734,2908.3,227.4,4.48,970.0,0,0
FALSE POSITIVE,0.0,9.27989,3.33,164.3,8.6,1.29,897.0,0,0
CONFIRMED,0.992,328.240201,12.2726,13889.0,287.6,10.99,224.0,0,0
FALSE POSITIVE,0.0,22.264806569,8.7941,19373.0,873.4,12.34,585.0,0,1
FALSE POSITIVE,0.0,2.217038096,1.8575,543.7,49.5,3.23,1697.0,0,0
FALSE POSITIVE,,8.874603,2.88,93.3,5.4,1.24,1070.0,0,0
CONFIRMED,1.0,4.393157678,2.4455,447.2,63.0,1.41,807.0,0,0
FALSE POSITIVE,0.217,251.7512,4.314,114.3,7.5,1.25,272.0,1,0
CONFIRMED,1.0,16.145671932,3.7236,941.1,242.7,2.48,546.0,0,0
CONFIRMED,0.0,1071.232624,16.1784,19046.0,544.2,9.27,129.0,0,0
CONFIRMED,1.0,2.735900074,1.9359,428.9,44.5,1.56,1075.0,0,0
CONFIRMED,1.0,5.852968845,4.5973,1146.5,152.4,3.46,1056.0,0,0
CONFIRMED,0.921,81.1701587,8.358,1183.2,51.0,4.71,436.0,0,0
FALSE POSITIVE,0.598,371.17573,8.2,133.7,12.1,4.07,610.0,1,0
CONFIRMED,1.0,2.820190603,2.554,467.5,64.2,2.53,1367.0,0,0
CONFIRMED,1.0,21.21712312,5.89,636.0,56.2,2.97,706.0,0,0
FALSE POSITIVE,,200.0,7.27,,,,,0,0
CONFIRMED,1.0,15.77980122,4.0369,541.4,39.4,2.11,713.0,0,0
CONFIRMED,1.0,14.03490255,3.638,851.8,60.9,2.41,641.0,0,0
CONFIRMED,1.0,10.35586478,2.8431,660.9,49.5,1.92,620.0,0,0
CONFIRMED,0.994,22.342964828,6.66405,5612.8,1118.9,9.99,785.0,0,0
CONFIRMED,1.0,11.38840217,3.6949,438.0,34.7,3.04,979.0,0,0
CONFIRMED,1.0,20.5498184,5.5484,1564.3,123.1,4.04,657.0,0,0
CANDIDATE,,934.09418462,17.489,8709.6,135.5,7.89,177.0,0,0
CANDIDATE,0.804,199.83920527,4.378,44490.0,590.6,21.48,276.0,0,0
FALSE POSITIVE,0.471,17.4217322,4.718,208.4,9.3,1.42,727.0,1,0
CANDIDATE,0.0,15.84132627,1.8215,31083.0,135.8,16.84,575.0,0,0
CONFIRMED,1.0,5.931196562,2.4999,1007.4,90.5,2.01,562.0,0,0
CONFIRMED,0.0,0.837491225,1.796,190.4,189.5,1.43,1980.0,0,0
CONFIRMED,0.987,7.40611676,2.8826,417.9,49.6,1.37,678.0,0,0
CONFIRMED,0.997,21.803708,3.369,246.4,18.5,1.11,473.0,0,0
FALSE POSITIVE,0.0,4.66229074,3.73,345.4,29.8,24.12,1166.0,0,0
CONFIRMED,1.0,29.9111886,6.6436,942.0,50.8,2.9,541.0,0,0
FALSE POSITIVE,0.0,2.908453928,2.5363,427.5,40.4,19.44,1181.0,0,1
CONFIRMED,1.0,25.69581456,4.0251,1130.8,45.1,1.7,314.0,0,0
FALSE POSITIVE,0.0,25.70280003,3.1644,5623.8,67.9,33.1,562.0,0,1
CONFIRMED,1.0,13.64617478,3.4098,633.0,43.4,2.06,678.0,0,0
CONFIRMED,1.0,3.213668926,3.98235,727.8,346.9,4.13,1515.0,0,0
CONFIRMED,1.0,8.13121389,4.2386,111.8,55.3,1.58,1117.0,0,0
CONFIRMED,0.999,41.8854433,6.763,687.4,47.0,3.28,540.0,0,0
CONFIRMED,0.992,13.81733587,4.261,223.2,20.4,2.04,781.0,0,0
CONFIRMED,0.9,52.8148051,7.309,553.7,27.4,3.33,562.0,0,0
CONFIRMED,1.0,8.30783912,3.1516,777.5,66.4,2.15,751.0,0,0
CONFIRMED,0.999,34.0963441,3.896,472.7,21.5,1.71,469.0,0,0
CONFIRMED,1.0,6.45442931,2.6772,586.1,45.3,2.48,999.0,0,0
CONFIRMED,1.0,3.595769013,3.1569,383.7,45.9,2.39,1296.0,0,0
CONFIRMED,1.0,52.6615266,3.1592,1078.1,38.4,1.87,271.0,0,0
CONFIRMED,1.0,1.902208647,2.19877,2343.5,363.2,4.45,1346.0,0,0
CANDIDATE,0.991,20.605501,3.793,37.1,11.1,0.85,806.0,0,0
CONFIRMED,1.0,15.90688891,3.9879,924.7,75.0,2.35,588.0,0,0
CONFIRMED,1.0,4.973455252,1.6519,741.6,65.4,2.46,867.0,0,0
FALSE POSITIVE,0.0,30.5528972,5.269,865.2,35.6,30.74,670.0,0,0
FALSE POSITIVE,0.0,4.804469031,3.4587,744.4,67.3,3.35,953.0,0,0
CONFIRMED,1.0,1.616883373,1.6325,437.3,43.9,4.47,1774.0,0,0
CANDIDATE,0.498,9.5539134,5.261,26.8,13.1,0.68,1012.0,0,0
CONFIRMED,1.0,13.19322809,5.0036,585.7,50.9,2.94,862.0,0,0
CONFIRMED,1.0,10.31174786,3.1818,275.9,81.7,1.34,634.0,0,0
CONFIRMED,0.996,4.42535097,3.504,179.0,22.1,1.63,1240.0,0,0
CONFIRMED,1.0,4.302139338,2.0289,747.2,65.5,2.46,937.0,0,0
CONFIRMED,1.0,3.137845914,1.91,305.7,30.8,1.5,1041.0,0,0
