,Accuracy,Precision,Recall,F1-Score,CV Mean,CV Std
Logistic Regression,0.8881338212232096,0.8866141050102424,0.8881338212232096,0.8869176286722696,0.8791009336458293,0.0016923780063992121
Decision Tree,0.8588604286461056,0.8603865378579761,0.8588604286461056,0.8593603116393858,0.8580588534129088,0.004985966058394792
Random Forest,0.9085206481965499,0.9087787591556503,0.9085206481965499,0.9086435195675435,0.9000134048829634,0.0028216532427172212
Gradient Boosting,0.9064296915838996,0.9069796280489679,0.9064296915838996,0.9066922050867412,0.9011903023782996,0.004097610678570572
SVM,0.902247778358599,0.902384495431891,0.902247778358599,0.9023130843701035,0.8942620270402959,0.004705745840762228
Random Forest Tuned,0.9079979090433874,0.9078623378240268,0.9079979090433874,0.9079291289122017,0.9024971503951026,0.0
